Code,,Area,Number of households on the waiting list (excludes households looking for transfers) as at 1 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,E12000001,North East,"73,809","68,655","66,028","62,116","57,016","62,261","85,421","105,953","89,747","95,359","90,569","95,400","82,524","76,950","91,914","86,919","58,920","61,203","61,898","57,678","50,836","51,503","55,143",,,,,,,,,,,,,,,,,,,,,,,
B,E12000002,North West,"124,642","124,203","118,829","116,937","112,405","121,213","160,194","177,836","200,600","217,397","212,597","234,559","237,847","253,521","233,902","238,808","207,064","197,955","185,327","189,501","180,780","194,072","203,323",,,,,,,,,,,,,,,,,,,,,,,
D,E12000003,Yorkshire And The Humber,"173,749","175,608","172,221","164,359","150,386","162,365","195,742","197,646","227,430","247,499","270,070","288,112","289,101","258,695","272,407","242,674","236,105","155,404","144,780","146,149","144,681","142,306","148,076",,,,,,,,,,,,,,,,,,,,,,,
E,E12000004,East Midlands,"102,868","101,291","100,588","99,863","100,611","102,050","111,100","129,265","141,038","133,823","134,421","136,545","120,896","123,780","116,439","121,452","106,477","86,062","79,001","84,243","72,039","65,807","75,143",,,,,,,,,,,,,,,,,,,,,,,
F,E12000005,West Midlands,"92,103","92,751","95,857","96,037","92,975","95,020","107,536","120,431","137,820","126,629","121,053","150,011","161,138","157,052","181,851","188,365","155,913","135,650","106,765","93,792","99,285","94,038","101,665",,,,,,,,,,,,,,,,,,,,,,,
G,E12000006,East,"86,424","88,491","91,948","98,068","94,846","99,492","110,968","134,305","129,184","135,444","146,252","147,845","153,475","155,900","157,632","163,930","147,013","111,553","100,727","103,497","107,620","103,068","107,449",,,,,,,,,,,,,,,,,,,,,,,
H,E12000007,London,"181,080","177,118","194,872","196,995","211,469","226,789","242,389","279,729","309,072","331,230","333,857","352,953","354,389","344,771","354,401","380,301","344,294","255,729","263,491","227,549","243,668","232,409","243,551",,,,,,,,,,,,,,,,,,,,,,,
J,E12000008,South East,"102,578","104,913","111,425","115,901","129,924","129,234","146,880","168,725","181,196","195,700","208,419","203,161","205,371","215,373","222,512","233,795","235,654","193,397","177,089","153,933","150,352","126,075","114,573",,,,,,,,,,,,,,,,,,,,,,,
K,E12000009,South West,"84,411","87,199","84,983","88,444","89,633","94,918","110,445","123,845","131,193","151,220","157,183","161,353","158,399","148,422","182,501","195,182","194,374","171,359","121,777","127,437","107,783","105,199","108,362",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B,E13000001,Inner London,"97,743","95,531","107,372","106,443","108,865","117,955","129,644","151,096","167,764","169,720","157,835","169,676","179,229","170,499",..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,
